Census_Tract,FIPS_Code,Formatted_FIPS,num_asianhh
"42101000100, PA",42101000100,42101000100,94
"42101000200, PA",42101000200,42101000200,710
"42101000300, PA",42101000300,42101000300,275
"42101000401, PA",42101000401,42101000401,259
"42101000402, PA",42101000402,42101000402,363
"42101000500, PA",42101000500,42101000500,224
"42101000600, PA",42101000600,42101000600,110
"42101000700, PA",42101000700,42101000700,469
"42101000801, PA",42101000801,42101000801,74
"42101000803, PA",42101000803,42101000803,179
"42101000804, PA",42101000804,42101000804,328
"42101000901, PA",42101000901,42101000901,215
"42101000902, PA",42101000902,42101000902,240
"42101001001, PA",42101001001,42101001001,60
"42101001002, PA",42101001002,42101001002,105
"42101001101, PA",42101001101,42101001101,198
"42101001102, PA",42101001102,42101001102,223
"42101001201, PA",42101001201,42101001201,151
"42101001202, PA",42101001202,42101001202,286
"42101001300, PA",42101001300,42101001300,176
"42101001400, PA",42101001400,42101001400,104
"42101001500, PA",42101001500,42101001500,172
"42101001600, PA",42101001600,42101001600,24
"42101001700, PA",42101001700,42101001700,11
"42101001800, PA",42101001800,42101001800,94
"42101001900, PA",42101001900,42101001900,61
"42101002000, PA",42101002000,42101002000,32
"42101002100, PA",42101002100,42101002100,19
"42101002200, PA",42101002200,42101002200,83
"42101002300, PA",42101002300,42101002300,128
"42101002400, PA",42101002400,42101002400,155
"42101002500, PA",42101002500,42101002500,187
"42101002701, PA",42101002701,42101002701,212
"42101002702, PA",42101002702,42101002702,39
"42101002801, PA",42101002801,42101002801,372
"42101002802, PA",42101002802,42101002802,230
"42101002900, PA",42101002900,42101002900,140
"42101003001, PA",42101003001,42101003001,318
"42101003002, PA",42101003002,42101003002,33
"42101003100, PA",42101003100,42101003100,40
"42101003200, PA",42101003200,42101003200,26
"42101003300, PA",42101003300,42101003300,114
"42101003600, PA",42101003600,42101003600,347
"42101003701, PA",42101003701,42101003701,151
"42101003702, PA",42101003702,42101003702,270
"42101003800, PA",42101003800,42101003800,102
"42101003901, PA",42101003901,42101003901,356
"42101003902, PA",42101003902,42101003902,39
"42101004001, PA",42101004001,42101004001,112
"42101004002, PA",42101004002,42101004002,80
"42101004101, PA",42101004101,42101004101,687
"42101004102, PA",42101004102,42101004102,914
"42101004201, PA",42101004201,42101004201,185
"42101004202, PA",42101004202,42101004202,274
"42101005000, PA",42101005000,42101005000,0
"42101005400, PA",42101005400,42101005400,68
"42101005500, PA",42101005500,42101005500,15
"42101005600, PA",42101005600,42101005600,4
"42101006000, PA",42101006000,42101006000,184
"42101006100, PA",42101006100,42101006100,62
"42101006200, PA",42101006200,42101006200,49
"42101006300, PA",42101006300,42101006300,128
"42101006400, PA",42101006400,42101006400,53
"42101006500, PA",42101006500,42101006500,0
"42101006600, PA",42101006600,42101006600,115
"42101006700, PA",42101006700,42101006700,204
"42101006900, PA",42101006900,42101006900,13
"42101007000, PA",42101007000,42101007000,20
"42101007101, PA",42101007101,42101007101,6
"42101007102, PA",42101007102,42101007102,0
"42101007200, PA",42101007200,42101007200,53
"42101007300, PA",42101007300,42101007300,0
"42101007400, PA",42101007400,42101007400,19
"42101007700, PA",42101007700,42101007700,86
"42101007800, PA",42101007800,42101007800,83
"42101007900, PA",42101007900,42101007900,171
"42101008000, PA",42101008000,42101008000,47
"42101008101, PA",42101008101,42101008101,0
"42101008102, PA",42101008102,42101008102,0
"42101008200, PA",42101008200,42101008200,17
"42101008301, PA",42101008301,42101008301,27
"42101008302, PA",42101008302,42101008302,46
"42101008400, PA",42101008400,42101008400,10
"42101008500, PA",42101008500,42101008500,49
"42101008601, PA",42101008601,42101008601,175
"42101008602, PA",42101008602,42101008602,99
"42101008701, PA",42101008701,42101008701,319
"42101008702, PA",42101008702,42101008702,394
"42101008801, PA",42101008801,42101008801,100
"42101008802, PA",42101008802,42101008802,525
"42101009000, PA",42101009000,42101009000,237
"42101009100, PA",42101009100,42101009100,321
"42101009200, PA",42101009200,42101009200,120
"42101009300, PA",42101009300,42101009300,33
"42101009400, PA",42101009400,42101009400,0
"42101009500, PA",42101009500,42101009500,0
"42101009600, PA",42101009600,42101009600,0
"42101009801, PA",42101009801,42101009801,22
"42101009802, PA",42101009802,42101009802,18
"42101010000, PA",42101010000,42101010000,43
"42101010100, PA",42101010100,42101010100,0
"42101010200, PA",42101010200,42101010200,0
"42101010300, PA",42101010300,42101010300,7
"42101010400, PA",42101010400,42101010400,0
"42101010500, PA",42101010500,42101010500,15
"42101010600, PA",42101010600,42101010600,9
"42101010700, PA",42101010700,42101010700,0
"42101010800, PA",42101010800,42101010800,89
"42101010900, PA",42101010900,42101010900,20
"42101011000, PA",42101011000,42101011000,0
"42101011100, PA",42101011100,42101011100,0
"42101011200, PA",42101011200,42101011200,0
"42101011300, PA",42101011300,42101011300,0
"42101011400, PA",42101011400,42101011400,0
"42101011500, PA",42101011500,42101011500,0
"42101011700, PA",42101011700,42101011700,4
"42101011800, PA",42101011800,42101011800,27
"42101011900, PA",42101011900,42101011900,0
"42101012000, PA",42101012000,42101012000,40
"42101012100, PA",42101012100,42101012100,78
"42101012201, PA",42101012201,42101012201,246
"42101012203, PA",42101012203,42101012203,167
"42101012204, PA",42101012204,42101012204,101
"42101012500, PA",42101012500,42101012500,595
"42101013100, PA",42101013100,42101013100,46
"42101013200, PA",42101013200,42101013200,62
"42101013300, PA",42101013300,42101013300,212
"42101013401, PA",42101013401,42101013401,58
"42101013402, PA",42101013402,42101013402,149
"42101013500, PA",42101013500,42101013500,70
"42101013601, PA",42101013601,42101013601,108
"42101013602, PA",42101013602,42101013602,109
"42101013700, PA",42101013700,42101013700,42
"42101013800, PA",42101013800,42101013800,24
"42101013900, PA",42101013900,42101013900,0
"42101014000, PA",42101014000,42101014000,184
"42101014100, PA",42101014100,42101014100,98
"42101014200, PA",42101014200,42101014200,200
"42101014300, PA",42101014300,42101014300,52
"42101014400, PA",42101014400,42101014400,84
"42101014500, PA",42101014500,42101014500,10
"42101014600, PA",42101014600,42101014600,47
"42101014700, PA",42101014700,42101014700,75
"42101014800, PA",42101014800,42101014800,28
"42101014900, PA",42101014900,42101014900,10
"42101015101, PA",42101015101,42101015101,8
"42101015102, PA",42101015102,42101015102,19
"42101015200, PA",42101015200,42101015200,20
"42101015300, PA",42101015300,42101015300,76
"42101015600, PA",42101015600,42101015600,32
"42101015700, PA",42101015700,42101015700,14
"42101015800, PA",42101015800,42101015800,132
"42101016000, PA",42101016000,42101016000,65
"42101016100, PA",42101016100,42101016100,251
"42101016200, PA",42101016200,42101016200,55
"42101016300, PA",42101016300,42101016300,87
"42101016400, PA",42101016400,42101016400,0
"42101016500, PA",42101016500,42101016500,9
"42101016600, PA",42101016600,42101016600,16
"42101016701, PA",42101016701,42101016701,0
"42101016702, PA",42101016702,42101016702,0
"42101016800, PA",42101016800,42101016800,0
"42101016901, PA",42101016901,42101016901,0
"42101016902, PA",42101016902,42101016902,0
"42101017000, PA",42101017000,42101017000,44
"42101017100, PA",42101017100,42101017100,0
"42101017201, PA",42101017201,42101017201,64
"42101017202, PA",42101017202,42101017202,29
"42101017300, PA",42101017300,42101017300,0
"42101017400, PA",42101017400,42101017400,6
"42101017500, PA",42101017500,42101017500,21
"42101017601, PA",42101017601,42101017601,0
"42101017602, PA",42101017602,42101017602,6
"42101017701, PA",42101017701,42101017701,5
"42101017702, PA",42101017702,42101017702,0
"42101017800, PA",42101017800,42101017800,42
"42101017900, PA",42101017900,42101017900,0
"42101018001, PA",42101018001,42101018001,29
"42101018002, PA",42101018002,42101018002,84
"42101018300, PA",42101018300,42101018300,0
"42101018400, PA",42101018400,42101018400,7
"42101018800, PA",42101018800,42101018800,57
"42101019000, PA",42101019000,42101019000,51
"42101019100, PA",42101019100,42101019100,301
"42101019200, PA",42101019200,42101019200,75
"42101019501, PA",42101019501,42101019501,0
"42101019502, PA",42101019502,42101019502,0
"42101019700, PA",42101019700,42101019700,0
"42101019800, PA",42101019800,42101019800,101
"42101019900, PA",42101019900,42101019900,0
"42101020000, PA",42101020000,42101020000,16
"42101020101, PA",42101020101,42101020101,15
"42101020102, PA",42101020102,42101020102,0
"42101020200, PA",42101020200,42101020200,0
"42101020300, PA",42101020300,42101020300,10
"42101020400, PA",42101020400,42101020400,0
"42101020500, PA",42101020500,42101020500,112
"42101020600, PA",42101020600,42101020600,52
"42101020700, PA",42101020700,42101020700,148
"42101020800, PA",42101020800,42101020800,122
"42101020900, PA",42101020900,42101020900,27
"42101021000, PA",42101021000,42101021000,24
"42101021100, PA",42101021100,42101021100,26
"42101021200, PA",42101021200,42101021200,36
"42101021300, PA",42101021300,42101021300,30
"42101021400, PA",42101021400,42101021400,5
"42101021500, PA",42101021500,42101021500,55
"42101021600, PA",42101021600,42101021600,48
"42101021700, PA",42101021700,42101021700,126
"42101021800, PA",42101021800,42101021800,92
"42101021900, PA",42101021900,42101021900,14
"42101022000, PA",42101022000,42101022000,13
"42101023100, PA",42101023100,42101023100,4
"42101023500, PA",42101023500,42101023500,5
"42101023600, PA",42101023600,42101023600,17
"42101023700, PA",42101023700,42101023700,34
"42101023800, PA",42101023800,42101023800,7
"42101023900, PA",42101023900,42101023900,81
"42101024000, PA",42101024000,42101024000,46
"42101024100, PA",42101024100,42101024100,0
"42101024200, PA",42101024200,42101024200,38
"42101024300, PA",42101024300,42101024300,38
"42101024400, PA",42101024400,42101024400,0
"42101024500, PA",42101024500,42101024500,16
"42101024600, PA",42101024600,42101024600,14
"42101024700, PA",42101024700,42101024700,0
"42101024800, PA",42101024800,42101024800,0
"42101024900, PA",42101024900,42101024900,0
"42101025200, PA",42101025200,42101025200,53
"42101025300, PA",42101025300,42101025300,18
"42101025400, PA",42101025400,42101025400,18
"42101025500, PA",42101025500,42101025500,0
"42101025600, PA",42101025600,42101025600,0
"42101025700, PA",42101025700,42101025700,133
"42101025800, PA",42101025800,42101025800,10
"42101025900, PA",42101025900,42101025900,12
"42101026000, PA",42101026000,42101026000,10
"42101026100, PA",42101026100,42101026100,0
"42101026200, PA",42101026200,42101026200,7
"42101026301, PA",42101026301,42101026301,0
"42101026302, PA",42101026302,42101026302,50
"42101026400, PA",42101026400,42101026400,0
"42101026500, PA",42101026500,42101026500,0
"42101026600, PA",42101026600,42101026600,0
"42101026700, PA",42101026700,42101026700,0
"42101026800, PA",42101026800,42101026800,91
"42101026900, PA",42101026900,42101026900,0
"42101027000, PA",42101027000,42101027000,57
"42101027100, PA",42101027100,42101027100,180
"42101027200, PA",42101027200,42101027200,118
"42101027300, PA",42101027300,42101027300,282
"42101027401, PA",42101027401,42101027401,245
"42101027402, PA",42101027402,42101027402,151
"42101027500, PA",42101027500,42101027500,132
"42101027600, PA",42101027600,42101027600,22
"42101027700, PA",42101027700,42101027700,136
"42101027800, PA",42101027800,42101027800,10
"42101027901, PA",42101027901,42101027901,12
"42101027902, PA",42101027902,42101027902,5
"42101028000, PA",42101028000,42101028000,16
"42101028100, PA",42101028100,42101028100,39
"42101028200, PA",42101028200,42101028200,230
"42101028300, PA",42101028300,42101028300,224
"42101028400, PA",42101028400,42101028400,38
"42101028500, PA",42101028500,42101028500,78
"42101028600, PA",42101028600,42101028600,200
"42101028700, PA",42101028700,42101028700,16
"42101028800, PA",42101028800,42101028800,185
"42101028901, PA",42101028901,42101028901,106
"42101028902, PA",42101028902,42101028902,179
"42101029000, PA",42101029000,42101029000,226
"42101029100, PA",42101029100,42101029100,449
"42101029200, PA",42101029200,42101029200,47
"42101029300, PA",42101029300,42101029300,0
"42101029400, PA",42101029400,42101029400,43
"42101029800, PA",42101029800,42101029800,51
"42101029900, PA",42101029900,42101029900,10
"42101030000, PA",42101030000,42101030000,72
"42101030100, PA",42101030100,42101030100,36
"42101030200, PA",42101030200,42101030200,118
"42101030501, PA",42101030501,42101030501,103
"42101030502, PA",42101030502,42101030502,139
"42101030600, PA",42101030600,42101030600,150
"42101030700, PA",42101030700,42101030700,75
"42101030800, PA",42101030800,42101030800,208
"42101030900, PA",42101030900,42101030900,187
"42101031000, PA",42101031000,42101031000,350
"42101031101, PA",42101031101,42101031101,130
"42101031102, PA",42101031102,42101031102,141
"42101031200, PA",42101031200,42101031200,157
"42101031300, PA",42101031300,42101031300,371
"42101031401, PA",42101031401,42101031401,415
"42101031402, PA",42101031402,42101031402,607
"42101031501, PA",42101031501,42101031501,358
"42101031502, PA",42101031502,42101031502,214
"42101031600, PA",42101031600,42101031600,156
"42101031700, PA",42101031700,42101031700,94
"42101031800, PA",42101031800,42101031800,36
"42101031900, PA",42101031900,42101031900,55
"42101032000, PA",42101032000,42101032000,62
"42101032100, PA",42101032100,42101032100,22
"42101032300, PA",42101032300,42101032300,0
"42101032500, PA",42101032500,42101032500,165
"42101032600, PA",42101032600,42101032600,207
"42101032900, PA",42101032900,42101032900,56
"42101033000, PA",42101033000,42101033000,84
"42101033101, PA",42101033101,42101033101,26
"42101033102, PA",42101033102,42101033102,35
"42101033200, PA",42101033200,42101033200,159
"42101033300, PA",42101033300,42101033300,85
"42101033400, PA",42101033400,42101033400,298
"42101033500, PA",42101033500,42101033500,206
"42101033600, PA",42101033600,42101033600,186
"42101033701, PA",42101033701,42101033701,120
"42101033702, PA",42101033702,42101033702,297
"42101033800, PA",42101033800,42101033800,54
"42101033900, PA",42101033900,42101033900,72
"42101034000, PA",42101034000,42101034000,87
"42101034100, PA",42101034100,42101034100,217
"42101034200, PA",42101034200,42101034200,29
"42101034400, PA",42101034400,42101034400,357
"42101034501, PA",42101034501,42101034501,171
"42101034502, PA",42101034502,42101034502,178
"42101034600, PA",42101034600,42101034600,109
"42101034701, PA",42101034701,42101034701,255
"42101034702, PA",42101034702,42101034702,98
"42101034801, PA",42101034801,42101034801,73
"42101034802, PA",42101034802,42101034802,0
"42101034803, PA",42101034803,42101034803,59
"42101034900, PA",42101034900,42101034900,77
"42101035100, PA",42101035100,42101035100,85
"42101035200, PA",42101035200,42101035200,30
"42101035301, PA",42101035301,42101035301,61
"42101035302, PA",42101035302,42101035302,25
"42101035500, PA",42101035500,42101035500,249
"42101035601, PA",42101035601,42101035601,243
"42101035602, PA",42101035602,42101035602,211
"42101035701, PA",42101035701,42101035701,397
"42101035702, PA",42101035702,42101035702,166
"42101035800, PA",42101035800,42101035800,222
"42101035900, PA",42101035900,42101035900,234
"42101036000, PA",42101036000,42101036000,235
"42101036100, PA",42101036100,42101036100,37
"42101036201, PA",42101036201,42101036201,0
"42101036202, PA",42101036202,42101036202,67
"42101036203, PA",42101036203,42101036203,31
"42101036301, PA",42101036301,42101036301,155
"42101036302, PA",42101036302,42101036302,0
"42101036303, PA",42101036303,42101036303,32
"42101036400, PA",42101036400,42101036400,4
"42101036501, PA",42101036501,42101036501,113
"42101036502, PA",42101036502,42101036502,55
"42101036600, PA",42101036600,42101036600,136
"42101036700, PA",42101036700,42101036700,88
"42101036900, PA",42101036900,42101036900,203
"42101037200, PA",42101037200,42101037200,292
"42101037300, PA",42101037300,42101037300,142
"42101037500, PA",42101037500,42101037500,41
"42101037600, PA",42101037600,42101037600,322
"42101037700, PA",42101037700,42101037700,91
"42101037800, PA",42101037800,42101037800,12
"42101037900, PA",42101037900,42101037900,37
"42101038000, PA",42101038000,42101038000,20
"42101038100, PA",42101038100,42101038100,0
"42101038200, PA",42101038200,42101038200,17
"42101038300, PA",42101038300,42101038300,0
"42101038400, PA",42101038400,42101038400,25
"42101038500, PA",42101038500,42101038500,49
"42101038600, PA",42101038600,42101038600,20
"42101038700, PA",42101038700,42101038700,37
"42101038800, PA",42101038800,42101038800,37
"42101038900, PA",42101038900,42101038900,0
"42101039000, PA",42101039000,42101039000,54
"42101980000, PA",42101980000,42101980000,0
"42101980100, PA",42101980100,42101980100,0
"42101980200, PA",42101980200,42101980200,4
"42101980300, PA",42101980300,42101980300,0
"42101980400, PA",42101980400,42101980400,0
"42101980500, PA",42101980500,42101980500,0
"42101980600, PA",42101980600,42101980600,0
"42101980700, PA",42101980700,42101980700,0
"42101980800, PA",42101980800,42101980800,0
