Census_Tract,FIPS_Code,Formatted_FIPS,num_hispanichh
"42101000100, PA",42101000100,42101000100,189
"42101000200, PA",42101000200,42101000200,57
"42101000300, PA",42101000300,42101000300,87
"42101000401, PA",42101000401,42101000401,48
"42101000402, PA",42101000402,42101000402,66
"42101000500, PA",42101000500,42101000500,46
"42101000600, PA",42101000600,42101000600,35
"42101000700, PA",42101000700,42101000700,155
"42101000801, PA",42101000801,42101000801,54
"42101000803, PA",42101000803,42101000803,119
"42101000804, PA",42101000804,42101000804,192
"42101000901, PA",42101000901,42101000901,60
"42101000902, PA",42101000902,42101000902,44
"42101001001, PA",42101001001,42101001001,22
"42101001002, PA",42101001002,42101001002,83
"42101001101, PA",42101001101,42101001101,80
"42101001102, PA",42101001102,42101001102,34
"42101001201, PA",42101001201,42101001201,73
"42101001202, PA",42101001202,42101001202,231
"42101001300, PA",42101001300,42101001300,102
"42101001400, PA",42101001400,42101001400,42
"42101001500, PA",42101001500,42101001500,96
"42101001600, PA",42101001600,42101001600,55
"42101001700, PA",42101001700,42101001700,65
"42101001800, PA",42101001800,42101001800,34
"42101001900, PA",42101001900,42101001900,22
"42101002000, PA",42101002000,42101002000,10
"42101002100, PA",42101002100,42101002100,29
"42101002200, PA",42101002200,42101002200,44
"42101002300, PA",42101002300,42101002300,100
"42101002400, PA",42101002400,42101002400,160
"42101002500, PA",42101002500,42101002500,116
"42101002701, PA",42101002701,42101002701,321
"42101002702, PA",42101002702,42101002702,106
"42101002801, PA",42101002801,42101002801,383
"42101002802, PA",42101002802,42101002802,174
"42101002900, PA",42101002900,42101002900,205
"42101003001, PA",42101003001,42101003001,118
"42101003002, PA",42101003002,42101003002,48
"42101003100, PA",42101003100,42101003100,150
"42101003200, PA",42101003200,42101003200,65
"42101003300, PA",42101003300,42101003300,236
"42101003600, PA",42101003600,42101003600,66
"42101003701, PA",42101003701,42101003701,200
"42101003702, PA",42101003702,42101003702,87
"42101003800, PA",42101003800,42101003800,38
"42101003901, PA",42101003901,42101003901,166
"42101003902, PA",42101003902,42101003902,62
"42101004001, PA",42101004001,42101004001,180
"42101004002, PA",42101004002,42101004002,60
"42101004101, PA",42101004101,42101004101,307
"42101004102, PA",42101004102,42101004102,321
"42101004201, PA",42101004201,42101004201,20
"42101004202, PA",42101004202,42101004202,87
"42101005000, PA",42101005000,42101005000,0
"42101005400, PA",42101005400,42101005400,45
"42101005500, PA",42101005500,42101005500,146
"42101005600, PA",42101005600,42101005600,35
"42101006000, PA",42101006000,42101006000,64
"42101006100, PA",42101006100,42101006100,8
"42101006200, PA",42101006200,42101006200,61
"42101006300, PA",42101006300,42101006300,80
"42101006400, PA",42101006400,42101006400,63
"42101006500, PA",42101006500,42101006500,0
"42101006600, PA",42101006600,42101006600,41
"42101006700, PA",42101006700,42101006700,25
"42101006900, PA",42101006900,42101006900,37
"42101007000, PA",42101007000,42101007000,0
"42101007101, PA",42101007101,42101007101,0
"42101007102, PA",42101007102,42101007102,71
"42101007200, PA",42101007200,42101007200,0
"42101007300, PA",42101007300,42101007300,11
"42101007400, PA",42101007400,42101007400,54
"42101007700, PA",42101007700,42101007700,47
"42101007800, PA",42101007800,42101007800,102
"42101007900, PA",42101007900,42101007900,112
"42101008000, PA",42101008000,42101008000,68
"42101008101, PA",42101008101,42101008101,0
"42101008102, PA",42101008102,42101008102,53
"42101008200, PA",42101008200,42101008200,45
"42101008301, PA",42101008301,42101008301,0
"42101008302, PA",42101008302,42101008302,30
"42101008400, PA",42101008400,42101008400,66
"42101008500, PA",42101008500,42101008500,110
"42101008601, PA",42101008601,42101008601,145
"42101008602, PA",42101008602,42101008602,38
"42101008701, PA",42101008701,42101008701,102
"42101008702, PA",42101008702,42101008702,110
"42101008801, PA",42101008801,42101008801,75
"42101008802, PA",42101008802,42101008802,73
"42101009000, PA",42101009000,42101009000,52
"42101009100, PA",42101009100,42101009100,43
"42101009200, PA",42101009200,42101009200,51
"42101009300, PA",42101009300,42101009300,29
"42101009400, PA",42101009400,42101009400,47
"42101009500, PA",42101009500,42101009500,28
"42101009600, PA",42101009600,42101009600,105
"42101009801, PA",42101009801,42101009801,27
"42101009802, PA",42101009802,42101009802,75
"42101010000, PA",42101010000,42101010000,24
"42101010100, PA",42101010100,42101010100,21
"42101010200, PA",42101010200,42101010200,55
"42101010300, PA",42101010300,42101010300,32
"42101010400, PA",42101010400,42101010400,0
"42101010500, PA",42101010500,42101010500,6
"42101010600, PA",42101010600,42101010600,7
"42101010700, PA",42101010700,42101010700,18
"42101010800, PA",42101010800,42101010800,37
"42101010900, PA",42101010900,42101010900,68
"42101011000, PA",42101011000,42101011000,61
"42101011100, PA",42101011100,42101011100,0
"42101011200, PA",42101011200,42101011200,63
"42101011300, PA",42101011300,42101011300,22
"42101011400, PA",42101011400,42101011400,10
"42101011500, PA",42101011500,42101011500,14
"42101011700, PA",42101011700,42101011700,7
"42101011800, PA",42101011800,42101011800,34
"42101011900, PA",42101011900,42101011900,16
"42101012000, PA",42101012000,42101012000,17
"42101012100, PA",42101012100,42101012100,33
"42101012201, PA",42101012201,42101012201,80
"42101012203, PA",42101012203,42101012203,36
"42101012204, PA",42101012204,42101012204,22
"42101012500, PA",42101012500,42101012500,54
"42101013100, PA",42101013100,42101013100,33
"42101013200, PA",42101013200,42101013200,31
"42101013300, PA",42101013300,42101013300,79
"42101013401, PA",42101013401,42101013401,0
